scaffold1_len2507_cov26_single	6
scaffold2_len2871_cov30_single	7
scaffold3_len3037_cov26_single	10
scaffold4_len1144_cov52_single	11
scaffold5_len220_cov35_single	12
scaffold6_len656_cov23_single	16
scaffold7_len1275_cov42_single	21
scaffold8_len3616_cov48	18958	23	-18212
scaffold9_len3055_cov30_single	26
scaffold10_len899_cov27_single	27
scaffold11_len1836_cov32_single	28
scaffold12_len729_cov24_single	37
scaffold13_len1368_cov35_single	40
scaffold14_len1815_cov41_single	48
scaffold15_len9214_cov26	13075	49
scaffold16_len1312_cov27_single	53
scaffold17_len7028_cov34	54	-6780
scaffold18_len4371_cov35_single	56
scaffold19_len2499_cov30_single	57
scaffold20_len2027_cov23	58	13856
scaffold21_len4049_cov25	13116	60
scaffold22_len840_cov47_single	61
scaffold23_len6188_cov26	16514	62
scaffold24_len2698_cov39_single	68
scaffold25_len4191_cov33_single	71
scaffold26_len336_cov15_single	75
scaffold27_len1252_cov35_single	76
scaffold28_len8093_cov23	78	-8941
scaffold29_len3869_cov26	1523	79	1450
scaffold30_len332_cov11_single	82
scaffold31_len4341_cov36_single	84
scaffold32_len4782_cov29	4128	87
scaffold33_len1255_cov30_single	94
scaffold34_len2047_cov67_single	95
scaffold35_len4255_cov31	-18832	96	-9414
scaffold36_len1055_cov36	97	7163
scaffold37_len1419_cov23_single	101
scaffold38_len107_cov26_single	102
scaffold39_len401_cov24_single	103
scaffold40_len848_cov29	104	-13020
scaffold41_len103_cov52_single	107
scaffold42_len112_cov15_single	108
scaffold43_len107_cov26_single	109
scaffold44_len215_cov26_single	110
scaffold45_len557_cov23_single	121
scaffold46_len1902_cov23_single	130
scaffold47_len1816_cov22	136	-10069
scaffold48_len2921_cov29_single	138
scaffold49_len182_cov18_single	139
scaffold50_len213_cov17_single	140
scaffold51_len175_cov27_single	141
scaffold52_len100_cov5_single	142
scaffold53_len217_cov38_single	144
scaffold54_len936_cov30_single	150
scaffold55_len640_cov30_single	158
scaffold56_len3132_cov32_single	168
scaffold57_len5501_cov43	172	5671
scaffold58_len103_cov26_single	173
scaffold59_len5914_cov43	176	-427
scaffold60_len654_cov18_single	179
scaffold61_len122_cov33_single	180
scaffold62_len122_cov36_single	181
scaffold63_len287_cov17_single	182
scaffold64_len591_cov38_single	184
scaffold65_len1178_cov33_single	188
scaffold66_len2238_cov27_single	189
