scaffold1_len1155_cov50_single	2
scaffold2_len181_cov42_single	6
scaffold3_len200_cov28_single	11
scaffold4_len1049_cov38_single	13
scaffold5_len2601_cov40_single	17
scaffold6_len1058_cov53	-1870	20
scaffold7_len247_cov63_single	26
scaffold8_len1667_cov63_single	27
scaffold9_len1857_cov54_single	33
scaffold10_len909_cov40_single	34
scaffold11_len755_cov55_single	47
scaffold12_len167_cov10_single	49
scaffold13_len2139_cov44_single	57
scaffold14_len182_cov14_single	59
scaffold15_len727_cov77_single	61
scaffold16_len2055_cov36	63	9598
scaffold17_len546_cov54_single	64
scaffold18_len189_cov16_single	65
scaffold19_len1013_cov48_single	68
scaffold20_len790_cov38_single	73
scaffold21_len309_cov73_single	77
scaffold22_len765_cov50_single	78
scaffold23_len321_cov40_single	88
scaffold24_len718_cov59_single	90
scaffold25_len819_cov52_single	91
scaffold26_len1391_cov59_single	94
scaffold27_len4296_cov47	95	-38469
scaffold28_len157_cov99_single	98
scaffold29_len1638_cov54_single	104
scaffold30_len118_cov12_single	105
scaffold31_len1701_cov36	28876	114	-9805
scaffold32_len315_cov24_single	115
scaffold33_len1524_cov48_single	130
scaffold34_len438_cov38_single	131
scaffold35_len3414_cov53	14342	-29225	133
scaffold36_len148_cov8_single	140
scaffold37_len156_cov26_single	142
scaffold38_len249_cov24_single	143
scaffold39_len2066_cov46	-25727	144
scaffold40_len875_cov59_single	149
scaffold41_len213_cov22_single	153
scaffold42_len691_cov55_single	154
scaffold43_len354_cov44_single	155
scaffold44_len129_cov32_single	159
scaffold45_len158_cov12_single	160
scaffold46_len3610_cov52_single	161
scaffold47_len488_cov34_single	164
scaffold48_len107_cov10_single	167
scaffold49_len106_cov57_single	169
scaffold50_len114_cov12_single	170
scaffold51_len3781_cov50	-13472	175
scaffold52_len572_cov40_single	180
scaffold53_len117_cov14_single	182
scaffold54_len246_cov16_single	184
scaffold55_len123_cov20_single	185
scaffold56_len378_cov48_single	191
scaffold57_len110_cov54_single	192
