## blobtools v1.0
## assembly	: /home/amir/gasp/platanus_assemblies/Sefale_32_gapClosed.fa
## coverage	: bam0 - /home/amir/gasp/mapping/Sefale_platanus_32.bam
## taxonomy	: tax0 - /home/amir/gasp/blast/Sefale_platanus_32.txt
## nodesDB	: /home/amir/gasp/blobtools/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
scaffold1_cov38	1298	0.386	0	38.042	Ascomycota	2381.0	0
scaffold2_cov48	1539	0.3574	0	43.771	Ascomycota	2837.0	0
scaffold3_cov61	658	0.5	0	61.965	Ascomycota	1210.0	0
scaffold4_cov50	2058	0.4086	0	47.16	Ascomycota	3795.0	0
scaffold5_cov50	1182	0.3511	0	50.823	Ascomycota	2183.0	0
scaffold6_cov21	185	0.3838	0	17.876	Ascomycota	342.0	0
scaffold7_cov65	913	0.4234	91	62.858	Ascomycota	1096.0	0
scaffold8_cov53	4536	0.3792	0	49.428	Ascomycota	8229.0	0
scaffold9_cov52	262	0.374	0	51.469	Ascomycota	484.0	0
scaffold10_cov58	960	0.4344	0	58.085	Ascomycota	1773.0	0
scaffold11_cov42	3509	0.4398	80	41.072	Ascomycota	3687.0	0
scaffold12_cov51	920	0.4262	80	51.335	Ascomycota	1206.0	0
scaffold13_cov42	306	0.3824	0	42.317	Ascomycota	566.0	0
scaffold14_cov15	180	0.3556	0	50.75	Ascomycota	257.0	0
scaffold15_cov56	316	0.4367	0	52.668	Ascomycota	584.0	0
scaffold16_cov48	173	0.3064	0	45.202	Ascomycota	320.0	0
scaffold17_cov51	14843	0.3843	85	48.451	Ascomycota	17680.0	0
scaffold18_cov8	129	0.3721	0	6.69	Ascomycota	239.0	0
scaffold19_cov42	2257	0.3704	0	40.797	Ascomycota	4163.0	0
scaffold20_cov13	131	0.3893	0	1.328	Ascomycota	243.0	0
scaffold21_cov47	5386	0.3742	65	46.527	Ascomycota	6789.0	0
scaffold22_cov50	1395	0.3477	0	47.534	Ascomycota	2571.0	0
scaffold23_cov42	751	0.4115	0	40.851	Ascomycota	1376.0	0
scaffold24_cov17	363	0.303	0	22.598	Ascomycota	660.0	0
scaffold25_cov50	1697	0.4125	0	48.632	Ascomycota	3129.0	0
scaffold26_cov10	109	0.367	0	44.394	Ascomycota	202.0	0
scaffold27_cov59	635	0.4205	0	57.701	Ascomycota	1168.0	0
scaffold28_cov50	5650	0.3741	74	49.283	Ascomycota	7764.0	0
scaffold29_cov73	455	0.3846	0	70.24	Ascomycota	835.0	0
scaffold30_cov50	1283	0.3788	0	46.835	Ascomycota	2370.0	0
scaffold31_cov48	1127	0.3824	0	46.007	Ascomycota	2082.0	0
scaffold32_cov21	141	0.4326	0	24.454	Ascomycota	261.0	0
scaffold33_cov27	133	0.4586	0	24.459	Ascomycota	241.0	0
scaffold34_cov46	8952	0.3742	0	43.833	Ascomycota	16510.0	0
scaffold35_cov52	2127	0.401	0	48.098	Ascomycota	3928.0	0
scaffold36_cov54	443	0.3815	0	48.935	Ascomycota	819.0	0
scaffold37_cov46	377	0.313	0	55.332	Ascomycota	697.0	0
scaffold38_cov38	1036	0.3537	69	36.585	Ascomycota	1277.0	0
scaffold39_cov23	200	0.32	0	19.55	Ascomycota	370.0	0
scaffold40_cov54	3234	0.3463	0	50.958	Ascomycota	5973.0	0
scaffold41_cov44	3673	0.3665	66	42.115	Ascomycota	3688.0	0
scaffold42_cov36	340	0.4	0	32.465	Ascomycota	628.0	0
scaffold43_cov42	2632	0.3894	0	41.204	Ascomycota	4822.0	0
scaffold44_cov13	118	0.339	0	10.0	Ascomycota	213.0	0
scaffold45_cov48	3082	0.3799	0	47.728	Ascomycota	5686.0	0
scaffold46_cov59	620	0.3645	0	57.916	Ascomycota	1146.0	0
scaffold47_cov47	2386	0.3958	82	46.28	Ascomycota	3240.0	0
scaffold48_cov100	118	0.4407	0	21.754	Ascomycota	219.0	0
scaffold49_cov54	216	0.4537	0	81.694	Ascomycota	399.0	0
scaffold50_cov42	145	0.3724	0	53.593	Ascomycota	268.0	0
scaffold51_cov12	156	0.5385	0	42.635	Ascomycota	283.0	0
scaffold52_cov52	106	0.4623	0	44.113	Ascomycota	196.0	0
scaffold53_cov12	113	0.4602	0	15.867	Ascomycota	209.0	0
scaffold54_cov53	1182	0.3401	0	74.838	Ascomycota	2167.0	0
scaffold55_cov40	1264	0.379	82	39.58	Ascomycota	1581.0	0
scaffold56_cov46	235	0.3702	0	993.213	Ascomycota	435.0	0
scaffold57_cov50	130	0.4154	0	43.6	Ascomycota	241.0	0
scaffold58_cov58	3256	0.4299	76	58.823	Ascomycota	3354.0	0
scaffold59_cov50	4731	0.3711	67	49.674	Ascomycota	7095.0	0
scaffold60_cov19	122	0.2951	0	39.902	Ascomycota	150.0	0
