## blobtools v1.0
## assembly	: /home/amir/gasp/celera_assemblies/424.mer22.scf.fasta
## coverage	: bam0 - /home/amir/gasp/mapping/424_celera_22.bam
## taxonomy	: tax0 - /home/amir/gasp/blast/424_celera_22.txt
## nodesDB	: /home/amir/gasp/blobtools/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
scf7180000231399	8749	0.3919	20	132.928	Ascomycota	13777.0	0
scf7180000231400	4874	0.3929	0	185.757	Ascomycota	8990.0	0
scf7180000231401	6528	0.3838	20	111.11	Ascomycota	10080.0	0
scf7180000231402	4258	0.3802	0	295.89	Firmicutes	7620.0	0
scf7180000231403	7210	0.3968	40	179.703	Ascomycota	7184.0	0
scf7180000231404	6966	0.4473	40	194.096	Ascomycota	6656.0	0
scf7180000231405	9562	0.3899	40	209.823	Ascomycota	8436.0	0
scf7180000231406	3901	0.3802	0	131.898	Ascomycota	7204.0	0
scf7180000231407	4755	0.4097	20	163.563	Ascomycota	6695.0	0
scf7180000231408	4408	0.3877	0	93.585	Ascomycota	8135.0	0
scf7180000231409	10566	0.4023	120	184.449	Ascomycota	10277.0	0
scf7180000231410	3252	0.3622	0	343.212	Firmicutes	5867.0	0
scf7180000231411	3595	0.3675	0	124.652	Ascomycota	6606.0	0
scf7180000231412	3191	0.3924	0	152.271	Ascomycota	5893.0	0
scf7180000231413	4458	0.3531	20	191.781	Firmicutes	5539.0	0
scf7180000231414	3800	0.4087	0	98.198	Ascomycota	6953.0	0
scf7180000231415	3293	0.3699	0	127.076	Ascomycota	6076.0	0
scf7180000231416	7113	0.359	60	160.992	Ascomycota	5328.0	0
scf7180000231417	3560	0.3882	0	103.36	Ascomycota	6575.0	0
scf7180000231418	2988	0.3568	0	440.457	Firmicutes	5380.0	0
scf7180000231419	3564	0.3663	20	921.222	Firmicutes	4198.0	0
scf7180000231420	5877	0.386	20	104.661	Ascomycota	10593.0	0
scf7180000231421	6908	0.4111	20	81.002	Ascomycota	12482.0	0
scf7180000231422	3016	0.4042	0	122.328	Ascomycota	5559.0	0
scf7180000231423	1085	0.3954	0	110.403	Ascomycota	2004.0	0
scf7180000231424	2581	0.4583	0	144.322	Ascomycota	4756.0	0
scf7180000231425	5635	0.4622	40	123.994	Ascomycota	5123.0	0
scf7180000231426	2378	0.4184	0	173.156	Ascomycota	4392.0	0
scf7180000231427	3001	0.4045	0	82.732	Ascomycota	5537.0	0
scf7180000231428	2738	0.4543	0	98.047	Ascomycota	5027.0	0
scf7180000231429	4697	0.3697	20	77.959	Ascomycota	5755.0	0
scf7180000231430	2635	0.3905	0	113.412	Ascomycota	4795.0	0
scf7180000231431	3668	0.3728	20	124.282	Ascomycota	6645.0	0
scf7180000231432	4863	0.3715	20	133.605	Ascomycota	4643.0	0
scf7180000231433	12235	0.4207	180	263.56	Ascomycota	6905.0	0
scf7180000231434	3131	0.3791	0	85.061	Ascomycota	5755.0	0
scf7180000231435	6062	0.3691	40	132.694	Ascomycota	6868.0	0
scf7180000231436	2176	0.3842	0	182.644	Ascomycota	4013.0	0
scf7180000231437	6250	0.3878	20	184.124	Ascomycota	7673.0	0
scf7180000231438	2329	0.4371	0	137.417	Ascomycota	4301.0	0
scf7180000231439	2420	0.395	0	138.993	Ascomycota	4446.0	0
scf7180000231440	9730	0.3484	60	283.266	Firmicutes	4783.0	0
scf7180000231441	4645	0.443	40	120.587	Ascomycota	8342.0	0
scf7180000231442	2468	0.3764	0	130.526	Ascomycota	4547.0	0
